2024 Advent Calendar w/ Stitch and Jack,,,,,,2024 Advent Calendar w/ Mickey and Minnie,,,,,,,,,,,,,,,,,,,
A02,A04,A06,A08,A10,A12,A01,A02/A03,A05,A04/A07,A09,A06/A11,,,,Series 5,,,,Series 9,,,,Series 10,,
8: Boo,8: Alice,8: Meg,8: Alice,8: Baymax,8: Hiro,8: Alice,8: Baymax,8: Baymax,8: Boo,8: Alice,8: Alice,,,,1,Mickey,Common,,1,Luca Sea Monster,Common,,1,Zurg,Rare
8: Hercules,8: Baymax,8: Mike Wazowski,8: Boo,8: Boo,8: Meg,8: Meg,8: Hercules,8: Meg,8: Hercules,8: Baymax,8: Boo,,,,2,Minnie,Common,,2,Alberto Sea Monster,Common,,2,Slinky the Dog,Rare
8: Lotso,8: Hiro,8: Playing Card,8: Lotso,8: Hercules,8: Mike Wazowski,8: Mei,8: Lotso,8: Mei,8: Lotso,8: Boo,8: Hercules,,,,3,Figaro,Common,,3,Giulia,Rare,,3,Lenny,Common
8: Playing Card,8: Meilin Lee,8: Ralph,8: Playing Card,8: Meilin Lee,8: Sulley,8: Mike Wazowski,8: Mike Wazowski,8: Mike Wazowski,8: Mei,8: Hiro,8: Hiro,,,,4,Clarabelle,Ultra Rare,,4,Alberto,Ultra Rare,,4,Trixie,Common
8: Red Panda Mei,8: Sulley,8: Tinker Bell,8: Red Panda Mei,8: Playing Card (red),8: Vanellope,8: Black Card,8: Ralph,8: Red Card,8: Black Card,8: Ralph,8: Black Card,,,,5,Daisy,Rare,,5,Luca,Common,,5,Giggle McDimples,Ultra Rare
8: Tinker Bell,9: 22,9: Heimlich,9: Eeyore,8: Ralph,9: Alberto Scorfano,8: Sulley,8: Red Panda Mei,8: Sulley,8: Red Panda Mei,8: Sulley,8: Ralph,,,,6,Bambi,Special Edition,,6,Machiavelli,Rare,,6,Milo,Rare
9: 22,9: Alberto Scorfano,9: Luca Paguro,9: Flik,9: Heimlich,9: Heimlich,8: Vanellope,8: Tinker Bell,8: Tinker Bell,8: Tinker Bell,9: Alberto,9: Judy Hopps,,,,7,Thumper,Limited Edition,,7,Minnie Mouse 20`s,Common,,7,Princess Kida,Ultra Rare
9: Lightning McQueen,9: Flik,9: Minnie Mouse 30's,9: Mater,9: Mushu,9: Judy Hopps,9: Alberto,9: Flik,9: 22,9: 22,9: Eeyore,9: Lightning McQueen,,,,8,Flower,Special Edition,,8,Minnie Mouse 30`s,Common,,8,Audrey,Rare
9: Luca Paguro,9: Judy Hopps,9: Nick,9: Minnie Mouse 30's,9: Nick,9: Lightning McQueen,9: Heimlich,9: Heimlich,9: Alberto,9: Minnie Mouse 30s,9: Flik,9: Luca,,,,9,Owl,Limited Edition,,9,Minnie Mouse 40`s,Rare,,9,Vinny,Common
9: Minnie Mouse 30's,9: Mater,9: Soul Joe Gardner,9: Mr. Mittens,9: Soul Joe Gardner,9: Mulan,9: Judy Hopps,9: Judy Hopps,9: Flik,9: Mr. Mittens,9: Luca,9: Mater,,,,10,Cinderella,Common,,10,Minnie Mouse 50`s,Rare,,10,Gaetan Moliere,Common
9: Mulan,9: Mr. Mittens,9: Tigger,9: Nick,9: Winnie the Pooh,9: Mushu,9: Lightning McQueen,9: Mr. Mittens,9: Heimlich,9: Mulan,9: Mr. Mittens,9: Minnie Mouse 30s,,,,11,Charming,Common,,11,Minnie Mouse 70`s,Common,,11,Pinocchio,Common
9: Tigger,9: Winnie the Pooh,10: Dante,9: Soul Joe Gardner,10: Cinderella,10: Blue Fairy,9: Luca,9: Mulan,9: Lightning McQueen,9: Nick,9: Mulan,9: Mr. Mittens,,,,12,Drizella,Ultra Rare,,12,Minnie Mouse 80`s,Ultra Rare,,12,Honest John,Ultra Rare
10: Blue Fairy,10: Aurora,10: Kuzco,9: Tigger,10: Dante,10: Kuzco,9: Mater,9: Soul Joe Gardner,9: Nick,9: Soul Joe Gardner,9: Mushu,9: Mushu,,,,13,Anastasia,Rare,,13,Flik,Common,,13,Blue Fairy,Common
10: Cinderella,10: Blue Fairy,10: Lenny,10: Kuzco (Llama),10: Lenny,10: Miguel,9: Soul Joe Gardner,9: Tigger,9: Winnie the Pooh,9: Tigger,9: Nick,9: Winnie the Pooh,,,,14,Lucifer,Common,,14,Heimlich,Common,,14,Geppetto,Rare
10: Kuzco (Llama),10: Kuzco,10: Milo,10: Miguel,10: Moana,10: Pinocchio,9: Winnie the Pooh,10: Blue Fairy,10: Cinderella,10: Blue Fairy,9: Tigger,10: Aurora,,,,15,Prin. Rapunzel,Common,,15,Dot,Rare,,15,Gideon,Rare
10: Moana,10: Miguel,10: Moana,10: Milo,10: Remy,10: Remy,10: Blue Fairy,10: Kuzco (Llama),10: Kuzco,10: Dante,10: Cinderella,10: Dante,,,,16,Rapunzel Pan,Ultra Rare,,16,Francis,Ultra Rare,,16,Remy,Common
10: Slinky Dog,10: Milo,10: Princess Kida,10: Pinocchio,10: Slinky Dog,10: Tiana,10: Dante,10: Lenny,10: Lenny,10: Kuzco (Llama),10: Kuzco,10: Kuzco (Llama),,,,17,Pascal,Rare,,17,Tuck (teeth),Ultra Rare,,17,Emile,Rare
10: WALL-E,10: Tiana,10: Zurg,10: Remy,10: WALL-E,10: Zurg,10: Kuzco,10: Miguel,10: Miguel,10: Miguel,10: Miguel,10: Milo,,,,18,Aurora,Common,,18,Roll (no teeth),Common,,18,Colette Tatou,Rare
,,,,,,10: Lenny,10: Milo,10: Remy,10: Moana,10: Moana,10: Pinocchio,,,,19,Maleficent,Ultra Rare,,19,Princess Atta,Rare,,19,Alfredo Linguini,Common
,,,,,,10: Milo,10: Princess Kida,10: Slinky Dog,10: Pinocchio,10: Pinocchio,10: Remy,,,,20,Fauna,Rare,,20,Soul Joe Gardner,Rare,,20,Anton Ego,Ultra Rare
,,,,,,10: Moana,10: Tiana,10: Tiana,10: Slinky Dog,10: Remy,10: Tiana,,,,21,Merryweather,Common,,21,22,Rare,,21,Tiana,Common
,,,,,,10: Remy,10: Zurg,10: WALL-E,10: WALL-E,10: Zurg,10: WALL-E,,,,22,Flora,Common,,22,Soul Mr. Mittens,Ultra Rare,,22,Aurora,Ultra Rare
,,,,,,,,,,,,,,,23,Thomas O`Malley,Common,,23,Earth Joe Gardner,Common,,23,Mulan,Common
,B05,B07,B09,B11,B13,,,,,,,,,,24,Duchess,Rare,,24,Earth Mr. Mittens,Common,,24,Snow White,Rare
,8: Boo,8: Alice,8: Meg,8: Alice,8: Baymax,,,,,,,,,,25,Beriloz,Rare,,25,Dorothea,Ultra Rare,,25,Cinderella,Rare
,8: Hercules,8: Baymax,8: Mike Wazowski,8: Boo,8: Boo,,,,,,,,,,26,Marie,Common,,26,Mulan,Common,,26,Kakamora (Spikes),Rare
,8: Lotso,8: Hiro,8: Playing Card,8: Lotso,8: Hercules,,,,,,,,,,27,Toulouse,Ultra Rare,,27,Cri Kee,Common,,27,Kakamora (Shell),Common
,8: Black Card,8: Mei,8: Ralph,8: Black Card,8: Meilin Lee,,,,,,,,,,28,Jessie,Common,,28,Mushu,Rare,,28,Kakamora (Horns),Rare
,8: Red Panda Mei,8: Sulley,8: Tinker Bell,8: Red Panda Mei,8: Playing Card (red),,,,,,,,,,29,Green Alien,Rare,,29,Li Shang,Rare,,29,Te Fiti,Ultra Rare
,8: Tinker Bell,9: 22,9: Heimlich,9: Eeyore,8: Ralph,,,,,,,,,,30,Hamm,Common,,30,Little Brother,Ultra Rare,,30,Moana,Common
,9: 22,9: Alberto,9: Luca Paguro,9: Flik,9: Heimlich,,,,,,,,,,31,Duke Caboom,Ultra Rare,,31,Soldier,Ultra Rare,,31,Miguel,Common
,9: Lightning McQueen,9: Flik,9: Minnie Mouse 30's,9: Mater,9: Mushu,,,,,,,,,,32,Rex,Common,,32,Winnie the Pooh,Common,,32,Dante,Common
,9: Luca,9: Judy Hopps,9: Nick,9: Minnie Mouse 30s,9: Nick,,,,,,,,,,33,Buttercup,Rare,,33,Lumpy,Rare,,33,Ernesto de la Cruz,Ultra Rare
,9: Minnie Mouse 30s,9: Mater,9: Soul Joe Gardner,9: Mr. Mittens,9: Soul Joe Gardner,,,,,,,,,,34,Moana,Common,,34,Eeyore,Ultra Rare,,34,Hector Rivera,Rare
,9: Mulan,9: Mr. Mittens,9: Tigger,9: Nick,9: Winnie the Pooh,,,,,,,,,,35,Maui,Rare,,35,Piglet,Common,,35,Mama Imelda,Rare
,9: Tigger,9: Winnie the Pooh,10: Dante,9: Soul Joe Gardner,10: Cinderella,,,,,,,,,,36,Pua,Common,,36,Tigger,Common,,36,Kronk,Rare
,10: Blue Fairy,10: Aurora,10: Kuzco,9: Tigger,10: Dante,,,,,,,,,,37,Tamatoa,Ultra Rare,,37,Roo,Rare,,37,Kuzco (Llama),Common
,10: Cinderella,10: Blue Fairy,10: Lenny,10: Kuzco (Llama),10: Lenny,,,,,,,,,,38,Hei Hei,Rare,,38,Judy Hopps,Common,,38,Kuzco,Common
,10: Kuzco (Llama),10: Kuzco,10: Milo,10: Miguel,10: Moana,,,,,,,,,,39,Anna,Common,,39,Nick,Common,,39,Pacha,Rare
,10: Moana,10: Miguel,10: Moana,10: Milo,10: Remy,,,,,,,,,,40,Elsa,Common,,40,Dawn Bellwether,Rare,,40,Yzma,Ultra Rare
,10: Slinky Dog,10: Milo,10: Princess Kida,10: Pinocchio,10: Slinky Dog,,,,,,,,,,41,Olaf,Common,,41,Finnick,Common,,41,Francis,Rare
,10: WALL-E,10: Tiana,10: Zurg,10: Remy,10: WALL-E,,,,,,,,,,,,,,42,Flash,Ultra Rare,,42,Dodger,Common
,,,,,,,,,,,,,,,,,,,43,Officer Clawhauser,Rare,,43,Georgette,Ultra Rare
,,,,,,,,,,,,,,,,,,,44,Sally Carrera,Rare,,44,Tito,Rare
,,,,,,,,,,,,,,,,,,,45,Mater,Rare,,45,Oliver,Common
,,,,,,,,,,,,,,,,,,,46,Lightning McQueen,Common,,46,Pocahontas,Common
,,,,,,,,,,,,,,,,,,,47,Flo,Ultra Rare,,47,Captain John Smith,Common
,,,,,,,,,,,,,,,,,,,48,Doc Hudson,Common,,48,Percy,Ultra Rare
,,,,,,,,,,,,,,,,,,,49,Edna Mode,Limited Edition,,49,Meeko,Rare
,,,,,,,,,,,,,,,,,,,50,Karen Beverly,Limited Edition,,50,Flit,Common
Series 5 Advent (Walmart),,,,,Mega Set (Fairy Godmother exclusives),,,,,,,,,,,,,,,,,,51,Sulley,Common
A02,A04,A06,A08,,BOLD indicates who you should see visible,,,,,,,,,,,,,,,,,,52,Mike Wazowski,Common
Anna,Anastasia,Anna,Anastasia,,Green Alien,Buttercup,Rex,,,,,,,,,,,,,,,,53,Don Carlton,Ultra Rare
Bambi,Anna,Aurora,Aurora,,Anna,Elsa,Olaf,,,,,,,,,,,,,,,,54,Art,Rare
Beriloz,Aurora,Bambi,Beriloz,,Anastasia,Anna,Bambi,,,,,,,,,,,,,,,,55,Mickey Mouse D100,Limited Edition
Charming,Charming,Charming,Buttercup,,Bambi,Aurora,Beriloz,,,,,,,,,,,,,,,,55,Terri and Terry,Ultra Rare
Cinderella,Duchess,Cinderella,Cinderella,,Buttercup,Charming,Cinderella,,,,,,,,,,,,,,,,56,Wall-E,Common
Daisy,Elsa,Daisy,Clarabelle,,Charming,Cinderella,Clarabelle,,,,,,,,,,,,,,,,57,EVE,Rare
Fauna,Figaro,Drizella,Elsa,,Clarabelle,Daisy,Daisy,,,,,,,,,,,,,,,,58,M-O,Rare
Figaro,Flora,Duchess,Fauna,,Duchess,Drizella,Drizella,,,,,,,,,,,,,,,,59,Burn-E,Ultra Rare
Flower,Flower,Duke Caboom,Flora,,Duke Caboom,Duchess,Hamm,,,,,,,,,,,,,,,,60,Captain B. McCrea,Common
Green Alien,Hamm,Elsa,Hamm,,Flower,Figaro,Hei Hei,,,,,,,,,,,,,,,,61,Arlo,Common
Hamm,Hei Hei,Figaro,Jessie,,Maleficent,Hamm,Lucifer,,,,,,,,,,,,,,,,62,Spot,Rare
Jessie,Jessie,Flora,Lucifer,,Marie,Hei Hei,Mickey,,,,,,,,,,,,,,,,63,Nash,Rare
Maleficent,Lucifer,Green Alien,Marie,,Mickey,Jessie,Moana,,,,,,,,,,,,,,,,64,Forrest Woodbush,Ultra Rare
Marie,Maui,Hei Hei,Mickey,,Minnie,Maui,Owl,,,,,,,,,,,,,,,,65,Butch,Common
Merryweather,Merryweather,Lucifer,Minnie,,Moana,Minnie,Pascal,,,,,,,,,,,,,,,,66,Robin Hood,Common
Mickey,Mickey,Marie,Moana,,Pascal,Prin. Rapunzel,Pua,,,,,,,,,,,,,,,,67,Little John,Rare
Minnie,Minnie,Maui,Olaf,,Prin. Rapunzel,Rapunzel Pan,Rapunzel Pan,,,,,,,,,,,,,,,,68,Prince John,Ultra Rare
Moana,Moana,Merryweather,Owl,,Tamatoa,Thumper,Thomas O`Malley,,,,,,,,,,,,,,,,69,Maid Marian,Common
Olaf,Olaf,Mickey,Prin. Rapunzel,,Thomas O`Malley,Toulouse,Toulouse,,,,,,,,,,,,,,,,70,Sir Hiss,Rare
Pascal,Pascal,Owl,Pua,,,,,,,,,,,,,,,,,,,,72,Woody D100,Special Edition
Prin. Rapunzel,Rapunzel Pan,Prin. Rapunzel,Rex,,,,,,,,,,,,,,,,,,,,73,Simba D100,Special Edition
Pua,Thomas O`Malley,Pua,Tamatoa,,,,,,,,,,,,,,,,,,,,74,Elsa D100,Special Edition
Rex,Thomas O`Malley,Rex,Thomas O`Malley,,,,,,,,,,,,,,,,,,,,75,Jack Skellington D100,Special Edition
Toulouse,Thumper,Thomas O`Malley,Thumper,,,,,,,,,,,,,,,,,,,,76,Minnie Mouse D100,Special Edition
,,,,,,,,,,,,,,,,,,,,,,,77,Stitch D100,Special Edition
Series 6 Mega Sets (Target),,,,,,,,,,,,,,,,,,,,,,,78,Winnie the Pooh D100,Special Edition
,,,,,,,,,,,,,,,,,,,,,,,79,Tiana D100,Special Edition
0961HL01,A,B,C,D,,,,,,,,,,,,,,,,,,,80,Snow White D100,Special Edition
,10 Random series 6 Characters,,,,,,,,,,,,,,,,,,,,,,,,
1,Alice,Bashful,Aurora,Ariel B/Dress,,,,,,,,,,,,,,,,,,,,,
2,Dyan,Cheshire Cat,Eeyore,Belle,,,,,,,,,,,,,,,,,,,,,
3,Flounder,Hook,Happy,Cinderella,,,,,,,,,,,,,,,,,,,,,
4,Grumpy,Minnie LE,Pan,Doc,,,,,,,,,,,,,,,,,,,,,
5,Hatter,Pan,Q. Hearts,Dopey,,,,,,,,,,,,,,,,,,,,,
6,Mr Smee,Piglet,Rabbit,Mickey LE,,,,,,,,,,,,,,,,,,,,,
7,Pinocchio LE,Rapunzel,Sisu,Raya,,,,,,,,,,,,,,,,,,,,,
8,Pooh,Roo,Snow White,Tigger,,,,,,,,,,,,,,,,,,,,,
9,Sneezy,Sebastian,Tick Tock,Tuk Tuk,,,,,,,,,,,,,,,,,,,,,
10,Tiana,Sleepy,Ursula,White Rabbit,,,,,,,,,,,,,,,,,,,,,
,"20 Exclusives, the same in EACH box.",,,,,,,,,,,,,,,,,,,,,,,,
1,"Abu, flocked","Abu, flocked","Abu, flocked","Abu, flocked",,,,,,,,,,,,,,,,,,,,,
2,Bullseye BW,Bullseye BW,Bullseye BW,Bullseye BW,,,,,,,,,,,,,,,,,,,,,
3,"Dumbo, makeup","Dumbo, makeup","Dumbo, makeup","Dumbo, makeup",,,,,,,,,,,,,,,,,,,,,
4,Jasmine P. Dress,Jasmine P. Dress,Jasmine P. Dress,Jasmine P. Dress,,,,,,,,,,,,,,,,,,,,,
5,Jessie BW,Jessie BW,Jessie BW,Jessie BW,,,,,,,,,,,,,,,,,,,,,
6,Jiminy Crickey,Jiminy Crickey,Jiminy Crickey,Jiminy Crickey,,,,,,,,,,,,,,,,,,,,,
7,"Meeko, Raccoon","Meeko, Raccoon","Meeko, Raccoon","Meeko, Raccoon",,,,,,,,,,,,,,,,,,,,,
8,Merida,Merida,Merida,Merida,,,,,,,,,,,,,,,,,,,,,
9,"Olaf, ice blue","Olaf, ice blue","Olaf, ice blue","Olaf, ice blue",,,,,,,,,,,,,,,,,,,,,
10,"Pascal, golden","Pascal, golden","Pascal, golden","Pascal, golden",,,,,,,,,,,,,,,,,,,,,
11,Peter Pan,Peter Pan,Peter Pan,Peter Pan,,,,,,,,,,,,,,,,,,,,,
12,Pocahontas,Pocahontas,Pocahontas,Pocahontas,,,,,,,,,,,,,,,,,,,,,
13,"Prince Ali, yellow","Prince Ali, yellow","Prince Ali, yellow","Prince Ali, yellow",,,,,,,,,,,,,,,,,,,,,
14,Prospector BW,Prospector BW,Prospector BW,Prospector BW,,,,,,,,,,,,,,,,,,,,,
15,Stitch Alien,Stitch Alien,Stitch Alien,Stitch Alien,,,,,,,,,,,,,,,,,,,,,
16,"Sven, flocked","Sven, flocked","Sven, flocked","Sven, flocked",,,,,,,,,,,,,,,,,,,,,
17,"Tink, golden","Tink, golden","Tink, golden","Tink, golden",,,,,,,,,,,,,,,,,,,,,
18,Wendy,Wendy,Wendy,Wendy,,,,,,,,,,,,,,,,,,,,,
19,Woody BW,Woody BW,Woody BW,Woody BW,,,,,,,,,,,,,,,,,,,,,
20,Zazu,Zazu,Zazu,Zazu,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Series 8 Mega,,,,,,,,,,,,,,,,,,,,,,,,,
A01,A02,A03,A04,A05,A06,,,,,,,,,,,,,,,,,,,,
Baymax,Black Card,Alice,Abby,Abby,Alice,,,,,,,,,,,,,,,,,,,,
 Belle (rose), Boo, Bing Bong (cotton candy), Bing Bong (cotton candy), Ariel, Baymax,,,,,,,,,,,,,,,,,,,,
 Felix, Fred, Candlehead, Catepillar, Black Card, Boo,,,,,,,,,,,,,,,,,,,,
 Hades, Hades, Catepillar, Felix, Honey Lemon, Candlehead,,,,,,,,,,,,,,,,,,,,
 King of Hearts, Lotso (strawberry), Celia Mae, Go Go Tomago, Iridessa, Hiro,,,,,,,,,,,,,,,,,,,,
 March Hare, Miriam, Hercules, Hercules, King Candy, Lotso (strawberry),,,,,,,,,,,,,,,,,,,,
 Megara, Philoctetes, Honey Lemon, King of Hearts, Mike Wazowski, Megara,,,,,,,,,,,,,,,,,,,,
 Merida, Rancis Fluggerbutter, Iridessa, Merida, Minnie - Birthday, Mei,,,,,,,,,,,,,,,,,,,,
 Mike Wazowski, Randall, King Candy, Moana, Moana, Rapunzel,,,,,,,,,,,,,,,,,,,,
 Minnie Mouse (vanilla), Rapunzel, Mei, Pegasus, Panda Mei, Red Card,,,,,,,,,,,,,,,,,,,,
 Panda Mei, Silvermist, Pegasus, Randall, Ralph, Roz,,,,,,,,,,,,,,,,,,,,
 Priya, Snow White (apple), Priya, Silvermist, Rosetta, Tiana,,,,,,,,,,,,,,,,,,,,
 Tinker Bell, Tiana, Ralph, Snow White (apple), Sully, Tinker Bell,,,,,,,,,,,,,,,,,,,,
 Tweedle Dum (Tongue), Tweedle Dee (No Tongue), Rosetta, Sully, Tweedle Dee (No Tongue), Tweedle Dum (Tongue),,,,,,,,,,,,,,,,,,,,
 Wasabi,, Roz, Vanellope,, Vidia,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Series 9 Mega (Sam's Club),,,,,,,,,,,,,,,,,,,,,,,,,
,A01,A02,A03,A04,,,,,,,,,,,,,,,,,,,,,
,Alberto,Cri Kee,Cri Kee,Alberto Sea Monster,,,,,,,,,,,,,,,,,,,,,
, Dorothea, Dawn Bellwether, Earth Joe Gardner, Cri Kee,,,,,,,,,,,,,,,,,,,,,
, Earth Joe Gardner, Doc Hudson, Earth Mr. Mittens, Dawn Bellwether,,,,,,,,,,,,,,,,,,,,,
, Eeyore, Earth Mr. Mittens, Flo, Doc Hudson,,,,,,,,,,,,,,,,,,,,,
, Flo, Finnick, Francis, Dorothea,,,,,,,,,,,,,,,,,,,,,
, Heimlich, Flash, Giulia, Lightning McQueen,,,,,,,,,,,,,,,,,,,,,
, Judy Hopps, Francis, Heimlich, Luca,,,,,,,,,,,,,,,,,,,,,
, Li Shang, Giulia, Judy Hopps, Luca Sea Monster,,,,,,,,,,,,,,,,,,,,,
, Lightning McQueen, Lightning McQueen, Li Shang, Lumpy,,,,,,,,,,,,,,,,,,,,,
, Luca Sea Monster, Little Brother, Little Brother, Mater,,,,,,,,,,,,,,,,,,,,,
, Machiavelli, Luca, Luca, Minnie Mouse 20`s,,,,,,,,,,,,,,,,,,,,,
, Minnie Mouse 20`s, Lumpy, Machiavelli, Minnie Mouse 80`s,,,,,,,,,,,,,,,,,,,,,
, Minnie Mouse 40`s, Mater, Minnie Mouse 20`s, Mulan,,,,,,,,,,,,,,,,,,,,,
, Minnie Mouse 70`s, Minnie Mouse 30`s, Minnie Mouse 30`s, Mushu,,,,,,,,,,,,,,,,,,,,,
, Mulan, Minnie Mouse 50`s, Minnie Mouse 80`s, Nick,,,,,,,,,,,,,,,,,,,,,
, Nick, Minnie Mouse 70`s, Officer Clawhauser, Officer Clawhauser,,,,,,,,,,,,,,,,,,,,,
, Officer Clawhauser, Mushu, Roo, Piglet,,,,,,,,,,,,,,,,,,,,,
, Roll (no teeth), Piglet, Sally Carrera, Soldier,,,,,,,,,,,,,,,,,,,,,
, Roo, Roll (no teeth), Soul Joe Gardner, Tuck (teeth),,,,,,,,,,,,,,,,,,,,,
, Sally Carrera, Soul Joe Gardner, Tigger, Winnie the Pooh,,,,,,,,,,,,,,,,,,,,,
, Winnie the Pooh, Soul Mr. Mittens, Winnie the Pooh,,,,,,,,,,,,,,,,,,,,,,
,, Tigger,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Series 10 Mega,,,,,,,,,,,,,,,,,,,,,,,,,
A02,A04,A06,A08,A10,A12,A14,A16,A18,A20,A22,A24,,,,,,,,,,,,,,
Alfredo Linguini,Arlo,Alfredo Linguini,Butch,Art,Alfredo Linguini,Audrey,Alfredo Linguini,Anton Ego,Dodger,Arlo,Burn-E,,,,,,,,,,,,,,
 Captain B. McCrea, Audrey, Butch, Captain John Smith, Butch, Aurora, Captain B. McCrea, Arlo, Arlo, Forrest Woodbush, Colette Tatou, Captain B. McCrea,,,,,,,,,,,,,,
 Francis, Captain John Smith, Cinderella, Dante, Cinderella, Dante, Dodger, Art, Captain John Smith, Gaetan Moliere, Francis, Elsa D100,,,,,,,,,,,,,,
 Kakamora (Shell), Dante, Don Carlton, Elsa D100, Emile, EVE, Flit, Dante, Colette Tatou, Jack Skellington D100, Honest John, Emile,,,,,,,,,,,,,,
 Kuzco (Llama), Dodger, Ernesto de la Cruz, Gideon, Giggle McDimples, Flit, Geppetto, Flit, EVE, M-O, Kakamora (Spikes), Hector Rivera,,,,,,,,,,,,,,
 Lenny, Geppetto, Kakamora (Shell), Kakamora (Horns), Hector Rivera, Gaetan Moliere, Kakamora (Shell), Georgette, Gaetan Moliere, Maid Marian, Kuzco, Kakamora (Horns),,,,,,,,,,,,,,
 Little John, Kakamora (Spikes), Kronk, M-O, Kuzco (Llama), Jack Skellington D100, Mama Imelda, Gideon, Kuzco (Llama), Miguel, Meeko, Kuzco (Llama),,,,,,,,,,,,,,
 Mama Imelda, Kuzco, Lenny, Remy, Minnie Mouse D100, Kuzco, Mulan, Kakamora (Shell), Maid Marian, Mike Wazowski, Miguel, Lenny,,,,,,,,,,,,,,
 Nash, Minnie Mouse D100, Little John, Robin Hood, Moana, Meeko, Pacha, Kronk, Miguel, Moana, Remy, Milo,,,,,,,,,,,,,,
 Pinocchio, Prince John, Maid Marian, Spot, Oliver, Mike Wazowski, Remy, Lenny, Mulan, Mulan, Snow White D100, Mulan,,,,,,,,,,,,,,
 Pocahontas, Remy, Mike Wazowski, Stitch D100, Pocahontas, Moana, Robin Hood, Sir Hiss, Oliver, Pacha, Sulley, Nash,,,,,,,,,,,,,,
 Princess Kida, Snow White, Milo, Terri and Terry, Robin Hood, Pinocchio, Simba D100, Snow White, Pinocchio, Pinocchio, Tiana, Oliver,,,,,,,,,,,,,,
 Snow White D100, Sulley, Pocahontas, Tiana, Vinny, Spot, Slinky the Dog, Vinny, Stitch D100, Pocahontas, Trixie, Percy,,,,,,,,,,,,,,
 Sulley, Trixie, Simba D100, Tito, Wall-E, Tito, Sulley, Wall-E, Tiana D100, Sir Hiss, Vinny, Robin Hood,,,,,,,,,,,,,,
 Tiana, Woody D100, Wall-E, Vinny, Yzma, Zurg, Trixie, Winnie the Pooh D100, Zurg, Slinky the Dog, Winnie the Pooh D100, Sulley,,,,,,,,,,,,,,